"","x","y","span"
"1...1",0.05,NA,0.1
"2...2",0.0531772575250836,1.50867369879288,0.1
"3...3",0.0563545150501672,1.54332482825238,0.1
"4...4",0.0595317725752508,1.56620409016868,0.1
"5...5",0.0627090301003344,1.57561989363154,0.1
"6...6",0.0658862876254181,1.5728161394456,0.1
"7...7",0.0690635451505017,1.55911760606684,0.1
"8...8",0.0722408026755853,1.53584907195124,0.1
"9...9",0.0754180602006689,1.50433531555477,0.1
"10...10",0.0785953177257525,1.46590111533341,0.1
"11...11",0.0817725752508361,1.42187124974313,0.1
"12...12",0.0849498327759197,1.37357049723992,0.1
"13...13",0.0881270903010034,1.32061340865163,0.1
"14...14",0.091304347826087,1.26459381194292,0.1
"15...15",0.0944816053511706,1.20560491425146,0.1
"16...16",0.0976588628762542,1.14502196149547,0.1
"17...17",0.100836120401338,1.08422019959317,0.1
"18...18",0.104013377926421,1.02457487446279,0.1
"19...19",0.107190635451505,0.967461232022556,0.1
"20...20",0.110367892976589,0.914254518190681,0.1
"21...21",0.113545150501672,0.866329978885392,0.1
"22...22",0.116722408026756,0.825062860024912,0.1
"23...23",0.119899665551839,0.791828407527465,0.1
"24...24",0.123076923076923,0.768001867311273,0.1
"25...25",0.126254180602007,0.754958485294559,0.1
"26...26",0.12943143812709,0.753830907353786,0.1
"27...27",0.132608695652174,0.762498136024191,0.1
"28...28",0.135785953177258,0.781977241473695,0.1
"29...29",0.138963210702341,0.810817036392905,0.1
"30...30",0.142140468227425,0.846637541701191,0.1
"31...31",0.145317725752508,0.887058778317927,0.1
"32...32",0.148494983277592,0.929700767162484,0.1
"33...33",0.151672240802676,0.972183529154234,0.1
"34...34",0.154849498327759,1.01212708521255,0.1
"35...35",0.158026755852843,1.0471514562568,0.1
"36...36",0.161204013377926,1.07487666320637,0.1
"37...37",0.16438127090301,1.09376169403255,0.1
"38...38",0.167558528428094,1.1057449288095,0.1
"39...39",0.170735785953177,1.11353157890341,0.1
"40...40",0.173913043478261,1.11982257495571,0.1
"41...41",0.177090301003344,1.12731884760783,0.1
"42...42",0.180267558528428,1.13924775229337,0.1
"43...43",0.183444816053512,1.15195370869421,0.1
"44...44",0.186622073578595,1.15949212516107,0.1
"45...45",0.189799331103679,1.1648400958519,0.1
"46...46",0.192976588628763,1.16899504795911,0.1
"47...47",0.196153846153846,1.17295436385067,0.1
"48...48",0.19933110367893,1.17771542589453,0.1
"49...49",0.202508361204013,1.18388497099228,0.1
"50...50",0.205685618729097,1.19063164031779,0.1
"51...51",0.208862876254181,1.19708658004522,0.1
"52...52",0.212040133779264,1.20239568976393,0.1
"53...53",0.215217391304348,1.20570486906326,0.1
"54...54",0.218394648829431,1.20616001753256,0.1
"55...55",0.221571906354515,1.20290703476118,0.1
"56...56",0.224749163879599,1.19509182033847,0.1
"57...57",0.227926421404682,1.18186027385377,0.1
"58...58",0.231103678929766,1.16055569359859,0.1
"59...59",0.23428093645485,1.11963346426278,0.1
"60...60",0.237458193979933,1.0857440250355,0.1
"61...61",0.240635451505017,1.06785652297189,0.1
"62...62",0.2438127090301,1.04903976714419,0.1
"63...63",0.246989966555184,1.02937075765708,0.1
"64...64",0.250167224080268,1.00112933067538,0.1
"65...65",0.253344481605351,0.954320561570544,0.1
"66...66",0.256521739130435,0.923849872417375,0.1
"67...67",0.259698996655518,0.906059596104965,0.1
"68...68",0.262876254180602,0.892917320627426,0.1
"69...69",0.266053511705686,0.884320867743918,0.1
"70...70",0.269230769230769,0.880168059213598,0.1
"71...71",0.272408026755853,0.880356716795625,0.1
"72...72",0.275585284280936,0.884784662249156,0.1
"73...73",0.27876254180602,0.893357950721032,0.1
"74...74",0.281939799331104,0.907163747287199,0.1
"75...75",0.285117056856187,0.925539593258634,0.1
"76...76",0.288294314381271,0.946356337106231,0.1
"77...77",0.291471571906354,0.967484827300884,0.1
"78...78",0.294648829431438,0.990522565671389,0.1
"79...79",0.297826086956522,1.02411539795045,0.1
"80...80",0.301003344481605,1.06048141964432,0.1
"81...81",0.304180602006689,1.0903516375242,0.1
"82...82",0.307357859531773,1.1044570583613,0.1
"83...83",0.310535117056856,1.10200457141751,0.1
"84...84",0.31371237458194,1.09312827333513,0.1
"85...85",0.316889632107023,1.07946869092761,0.1
"86...86",0.320066889632107,1.0625477415714,0.1
"87...87",0.323244147157191,1.04388734264291,0.1
"88...88",0.326421404682274,1.02500941151856,0.1
"89...89",0.329598662207358,1.00743586557479,0.1
"90...90",0.332775919732441,0.992688622188004,0.1
"91...91",0.335953177257525,0.982289598734635,0.1
"92...92",0.339130434782609,0.977760712591105,0.1
"93...93",0.342307692307692,0.980386091561881,0.1
"94...94",0.345484949832776,0.98959316717085,0.1
"95...95",0.348662207357859,1.00394893596043,0.1
"96...96",0.351839464882943,1.02201642655826,0.1
"97...97",0.355016722408027,1.04235866759196,0.1
"98...98",0.35819397993311,1.06353868768917,0.1
"99...99",0.361371237458194,1.08411951547752,0.1
"100...100",0.364548494983278,1.10266417958464,0.1
"101...101",0.367725752508361,1.11794994300465,0.1
"102...102",0.370903010033445,1.13179369712505,0.1
"103...103",0.374080267558528,1.14380246742782,0.1
"104...104",0.377257525083612,1.15246790759472,0.1
"105...105",0.380434782608696,1.1560589220677,0.1
"106...106",0.383612040133779,1.15116272649145,0.1
"107...107",0.386789297658863,1.13901617586375,0.1
"108...108",0.389966555183946,1.1221504468676,0.1
"109...109",0.39314381270903,1.10309671618601,0.1
"110...110",0.396321070234114,1.08438616050197,0.1
"111...111",0.399498327759197,1.06854995649847,0.1
"112...112",0.402675585284281,1.05811928085853,0.1
"113...113",0.405852842809365,1.05562531026514,0.1
"114...114",0.409030100334448,1.05138922410569,0.1
"115...115",0.412207357859532,1.05624858014615,0.1
"116...116",0.415384615384615,1.07078568870201,0.1
"117...117",0.418561872909699,1.08715134767209,0.1
"118...118",0.421739130434783,1.104079634498,0.1
"119...119",0.424916387959866,1.13198211971867,0.1
"120...120",0.42809364548495,1.16213927736541,0.1
"121...121",0.431270903010033,1.18907948557366,0.1
"122...122",0.434448160535117,1.22160275443361,0.1
"123...123",0.437625418060201,1.25833375061969,0.1
"124...124",0.440802675585284,1.29766695995042,0.1
"125...125",0.443979933110368,1.33799686824435,0.1
"126...126",0.447157190635451,1.37771796132002,0.1
"127...127",0.450334448160535,1.41522472499597,0.1
"128...128",0.453511705685619,1.44891164509074,0.1
"129...129",0.456688963210702,1.47717320742288,0.1
"130...130",0.459866220735786,1.49840389781092,0.1
"131...131",0.46304347826087,1.51099820207341,0.1
"132...132",0.466220735785953,1.51413116468641,0.1
"133...133",0.469397993311037,1.51081578067918,0.1
"134...134",0.47257525083612,1.5044480394412,0.1
"135...135",0.475752508361204,1.49777087266084,0.1
"136...136",0.478929765886288,1.4867511191424,0.1
"137...137",0.482107023411371,1.47095646315248,0.1
"138...138",0.485284280936455,1.45173871026115,0.1
"139...139",0.488461538461538,1.43044966603845,0.1
"140...140",0.491638795986622,1.41119507206593,0.1
"141...141",0.494816053511706,1.39560380270071,0.1
"142...142",0.497993311036789,1.37407827839317,0.1
"143...143",0.501170568561873,1.33669168737825,0.1
"144...144",0.504347826086956,1.28947782723461,0.1
"145...145",0.50752508361204,1.24692304508538,0.1
"146...146",0.510702341137124,1.20965879720697,0.1
"147...147",0.513879598662207,1.17830780714139,0.1
"148...148",0.517056856187291,1.15349279843063,0.1
"149...149",0.520234113712375,1.1358364946167,0.1
"150...150",0.523411371237458,1.1259616192416,0.1
"151...151",0.526588628762542,1.12449089584735,0.1
"152...152",0.529765886287625,1.13204704797593,0.1
"153...153",0.532943143812709,1.14925279916937,0.1
"154...154",0.536120401337793,1.17673087296965,0.1
"155...155",0.539297658862876,1.21630267953768,0.1
"156...156",0.54247491638796,1.2738956345642,0.1
"157...157",0.545652173913043,1.32914860879691,0.1
"158...158",0.548829431438127,1.37445776876362,0.1
"159...159",0.552006688963211,1.41147289979297,0.1
"160...160",0.555183946488294,1.44149426934242,0.1
"161...161",0.558361204013378,1.4658221448694,0.1
"162...162",0.561538461538462,1.48575679383138,0.1
"163...163",0.564715719063545,1.50259848368579,0.1
"164...164",0.567892976588629,1.51764748189008,0.1
"165...165",0.571070234113712,1.5322040559017,0.1
"166...166",0.574247491638796,1.54756847317809,0.1
"167...167",0.57742474916388,1.56504100117671,0.1
"168...168",0.580602006688963,1.585921907355,0.1
"169...169",0.583779264214047,1.6115114591704,0.1
"170...170",0.58695652173913,1.6435229872533,0.1
"171...171",0.590133779264214,1.68344033504172,0.1
"172...172",0.593311036789298,1.72614618803947,0.1
"173...173",0.596488294314381,1.76565462296562,0.1
"174...174",0.599665551839465,1.79597971653927,0.1
"175...175",0.602842809364548,1.81115492154031,0.1
"176...176",0.606020066889632,1.80924236827544,0.1
"177...177",0.609197324414716,1.79343668310301,0.1
"178...178",0.612374581939799,1.76656581448423,0.1
"179...179",0.615551839464883,1.73145771088029,0.1
"180...180",0.618729096989967,1.69094032075238,0.1
"181...181",0.62190635451505,1.64784159256171,0.1
"182...182",0.625083612040134,1.60498947476947,0.1
"183...183",0.628260869565217,1.56521191583684,0.1
"184...184",0.631438127090301,1.53133686422504,0.1
"185...185",0.634615384615385,1.50619226839524,0.1
"186...186",0.637792642140468,1.49260607680865,0.1
"187...187",0.640969899665552,1.49537599742779,0.1
"188...188",0.644147157190635,1.51145113429714,0.1
"189...189",0.647324414715719,1.53766580488495,0.1
"190...190",0.650501672240803,1.56894070396363,0.1
"191...191",0.653678929765886,1.60019652630556,0.1
"192...192",0.65685618729097,1.62635396668313,0.1
"193...193",0.660033444816054,1.64240587341355,0.1
"194...194",0.663210702341137,1.65148395859524,0.1
"195...195",0.666387959866221,1.6581862839747,0.1
"196...196",0.669565217391304,1.66086117605874,0.1
"197...197",0.672742474916388,1.65916549443064,0.1
"198...198",0.675919732441472,1.65275994333336,0.1
"199...199",0.679096989966555,1.64130522700984,0.1
"200...200",0.682274247491639,1.62446204970304,0.1
"201...201",0.685451505016722,1.5987351208333,0.1
"202...202",0.688628762541806,1.55188222226034,0.1
"203...203",0.69180602006689,1.51269865667598,0.1
"204...204",0.694983277591973,1.48490408153984,0.1
"205...205",0.698160535117057,1.45761635087904,0.1
"206...206",0.70133779264214,1.4455152569467,0.1
"207...207",0.704515050167224,1.43863656469889,0.1
"208...208",0.707692307692308,1.44016568546134,0.1
"209...209",0.710869565217391,1.46785899584782,0.1
"210...210",0.714046822742475,1.52205382666983,0.1
"211...211",0.717224080267558,1.5933063408034,0.1
"212...212",0.720401337792642,1.67206484761688,0.1
"213...213",0.723578595317726,1.74877765647862,0.1
"214...214",0.726755852842809,1.81389307675695,0.1
"215...215",0.729933110367893,1.85785941782022,0.1
"216...216",0.733110367892977,1.87112498903677,0.1
"217...217",0.73628762541806,1.8417231062658,0.1
"218...218",0.739464882943144,1.78376121657911,0.1
"219...219",0.742642140468227,1.7113975087291,0.1
"220...220",0.745819397993311,1.64318902475321,0.1
"221...221",0.748996655518395,1.59769280668886,0.1
"222...222",0.752173913043478,1.5674880852405,0.1
"223...223",0.755351170568562,1.57139055360738,0.1
"224...224",0.758528428093646,1.58720723645307,0.1
"225...225",0.761705685618729,1.60600025222966,0.1
"226...226",0.764882943143813,1.64599186673057,0.1
"227...227",0.768060200668896,1.69989233748763,0.1
"228...228",0.77123745819398,1.73627989472147,0.1
"229...229",0.774414715719064,1.74565179291388,0.1
"230...230",0.777591973244147,1.74809350794905,0.1
"231...231",0.780769230769231,1.74436792524917,0.1
"232...232",0.783946488294314,1.73500159506866,0.1
"233...233",0.787123745819398,1.72052106766196,0.1
"234...234",0.790301003344482,1.7014528932835,0.1
"235...235",0.793478260869565,1.67832362218771,0.1
"236...236",0.796655518394649,1.65224594853513,0.1
"237...237",0.799832775919732,1.62962493151508,0.1
"238...238",0.803010033444816,1.61203623834651,0.1
"239...239",0.8061872909699,1.59941467710568,0.1
"240...240",0.809364548494983,1.59169505586881,0.1
"241...241",0.812541806020067,1.58881218271216,0.1
"242...242",0.81571906354515,1.59070086571197,0.1
"243...243",0.818896321070234,1.59729591294448,0.1
"244...244",0.822073578595318,1.60853213248594,0.1
"245...245",0.825250836120401,1.6243443324126,0.1
"246...246",0.828428093645485,1.6446673208007,0.1
"247...247",0.831605351170569,1.66943590572647,0.1
"248...248",0.834782608695652,1.69858489526618,0.1
"249...249",0.837959866220736,1.73372607830974,0.1
"250...250",0.841137123745819,1.77594997575111,0.1
"251...251",0.844314381270903,1.82045965784354,0.1
"252...252",0.847491638795987,1.85623268380856,0.1
"253...253",0.85066889632107,1.89237644554718,0.1
"254...254",0.853846153846154,1.92843363474693,0.1
"255...255",0.857023411371237,1.96394694309534,0.1
"256...256",0.860200668896321,1.99845906227994,0.1
"257...257",0.863377926421405,2.03151268398826,0.1
"258...258",0.866555183946488,2.06265049990783,0.1
"259...259",0.869732441471572,2.09141520172617,0.1
"260...260",0.872909698996655,2.11734948113082,0.1
"261...261",0.876086956521739,2.1399960298093,0.1
"262...262",0.879264214046823,2.15889753944916,0.1
"263...263",0.882441471571906,2.1735967017379,0.1
"264...264",0.88561872909699,2.18363620836307,0.1
"265...265",0.888795986622074,2.18855875101219,0.1
"266...266",0.891973244147157,2.18790702137279,0.1
"267...267",0.895150501672241,2.18081333073777,0.1
"268...268",0.898327759197324,2.16589513683865,0.1
"269...269",0.901505016722408,2.14487198935104,0.1
"270...270",0.904682274247492,2.11979461356836,0.1
"271...271",0.907859531772575,2.09271373478401,0.1
"272...272",0.911036789297659,2.06829544140757,0.1
"273...273",0.914214046822742,2.06595185667318,0.1
"274...274",0.917391304347826,2.08630141997416,0.1
"275...275",0.92056856187291,2.08750238560583,0.1
"276...276",0.923745819397993,2.05637067095599,0.1
"277...277",0.926923076923077,2.00521874621816,0.1
"278...278",0.93010033444816,1.94715278525033,0.1
"279...279",0.933277591973244,1.89527896191048,0.1
"280...280",0.936454849498328,1.86278506892377,0.1
"281...281",0.939632107023411,1.86336033682811,0.1
"282...282",0.942809364548495,1.86230502561625,0.1
"283...283",0.945986622073579,1.86839359272482,0.1
"284...284",0.949163879598662,1.88472958939273,0.1
"285...285",0.952341137123746,1.90266617619282,0.1
"286...286",0.955518394648829,1.93221980471408,0.1
"287...287",0.958695652173913,1.96788224698399,0.1
"288...288",0.961872909698997,2.00409333942536,0.1
"289...289",0.96505016722408,2.03529291846098,0.1
"290...290",0.968227424749164,2.05592082051366,0.1
"291...291",0.971404682274247,2.0604168820062,0.1
"292...292",0.974581939799331,2.05148653423542,0.1
"293...293",0.977759197324415,2.0241776384826,0.1
"294...294",0.980936454849498,1.98361644695779,0.1
"295...295",0.984113712374582,1.92656165490051,0.1
"296...296",0.987290969899665,1.85114554414764,0.1
"297...297",0.990468227424749,NA,0.1
"298...298",0.993645484949833,NA,0.1
"299...299",0.996822742474916,NA,0.1
"300...300",1,NA,0.1
"1...301",0.05,NA,0.2
"2...302",0.0531772575250836,1.5553013063271,0.2
"3...303",0.0563545150501672,1.51236970937747,0.2
"4...304",0.0595317725752508,1.47065137478129,0.2
"5...305",0.0627090301003344,1.4303279092423,0.2
"6...306",0.0658862876254181,1.39143798743589,0.2
"7...307",0.0690635451505017,1.35401430871325,0.2
"8...308",0.0722408026755853,1.31808957242553,0.2
"9...309",0.0754180602006689,1.28369647792391,0.2
"10...310",0.0785953177257525,1.25086772455955,0.2
"11...311",0.0817725752508361,1.21963601168364,0.2
"12...312",0.0849498327759197,1.19003403864734,0.2
"13...313",0.0881270903010034,1.16207291840856,0.2
"14...314",0.091304347826087,1.1355393405229,0.2
"15...315",0.0944816053511706,1.1103961341295,0.2
"16...316",0.0976588628762542,1.08667552210439,0.2
"17...317",0.100836120401338,1.06440972732357,0.2
"18...318",0.104013377926421,1.04363097266306,0.2
"19...319",0.107190635451505,1.02437148099888,0.2
"20...320",0.110367892976589,1.00666347520703,0.2
"21...321",0.113545150501672,0.990539178163535,0.2
"22...322",0.116722408026756,0.976030812744407,0.2
"23...323",0.119899665551839,0.963170601825659,0.2
"24...324",0.123076923076923,0.951990768283306,0.2
"25...325",0.126254180602007,0.942523534993363,0.2
