"","split","span","MSE"
"1",1,0.1,0.135981199989768
"2",1,0.15,0.13588510312799
"3",1,0.2,0.136266299799339
"4",1,0.25,0.1376513198164
"5",1,0.3,0.138233328665445
"6",1,0.35,0.138569737312304
"7",1,0.4,0.138521359336903
"8",1,0.45,0.137021117230615
"9",1,0.5,0.13502780710799
"10",1,0.55,0.134118316309304
"11",1,0.6,0.131430184695068
"12",1,0.65,0.130048805388609
"13",1,0.7,0.129383131077939
"14",1,0.75,0.128564933771573
"15",1,0.8,0.127443717550631
"16",1,0.85,0.126202127569225
"17",1,0.9,0.125028140547884
"18",1,0.95,0.125464287543131
"19",1,1,0.126141871703807
"20",2,0.1,0.139149552575042
"21",2,0.15,0.139343660178365
"22",2,0.2,0.138491539105765
"23",2,0.25,0.138548566820799
"24",2,0.3,0.138088994340319
"25",2,0.35,0.137167455601015
"26",2,0.4,0.137205294469859
"27",2,0.45,0.13734145033535
"28",2,0.5,0.137197841034141
"29",2,0.55,0.135314072917274
"30",2,0.6,0.13351059454592
"31",2,0.65,0.130254681846255
"32",2,0.7,0.127457721129876
"33",2,0.75,0.126979005247245
"34",2,0.8,0.125137759025985
"35",2,0.85,0.123482871937774
"36",2,0.9,0.122082902960179
"37",2,0.95,0.122141977644083
"38",2,1,0.122174020552052
"39",3,0.1,0.168201789009725
"40",3,0.15,0.158139147124002
"41",3,0.2,0.154267856515069
"42",3,0.25,0.154099051787592
"43",3,0.3,0.153395872303622
"44",3,0.35,0.151814386216616
"45",3,0.4,0.151104224617205
"46",3,0.45,0.148805769303203
"47",3,0.5,0.146393862589739
"48",3,0.55,0.143964962740052
"49",3,0.6,0.140170841588357
"50",3,0.65,0.136560941402068
"51",3,0.7,0.132570922377516
"52",3,0.75,0.129968917722737
"53",3,0.8,0.12631606464524
"54",3,0.85,0.1236514223274
"55",3,0.9,0.12146965306001
"56",3,0.95,0.119361968836404
"57",3,1,0.117595909253227
"58",4,0.1,0.15338571939486
"59",4,0.15,0.14767802285992
"60",4,0.2,0.143314654808996
"61",4,0.25,0.141863097832159
"62",4,0.3,0.141328696657064
"63",4,0.35,0.140384568684777
"64",4,0.4,0.139010106952272
"65",4,0.45,0.137592852978498
"66",4,0.5,0.136807461904782
"67",4,0.55,0.134492946701541
"68",4,0.6,0.132118868959292
"69",4,0.65,0.12886360260612
"70",4,0.7,0.12733334439005
"71",4,0.75,0.126579814407442
"72",4,0.8,0.125816207883311
"73",4,0.85,0.125454683375865
"74",4,0.9,0.12662886645053
"75",4,0.95,0.126684727539607
"76",4,1,0.127089666697563
"77",5,0.1,0.144283384073998
"78",5,0.15,0.145916183842688
"79",5,0.2,0.144188173039548
"80",5,0.25,0.145648815319673
"81",5,0.3,0.146541556240543
"82",5,0.35,0.146486201107062
"83",5,0.4,0.148638929568948
"84",5,0.45,0.1484367849354
"85",5,0.5,0.146780436980288
"86",5,0.55,0.144971292408856
"87",5,0.6,0.141964469442198
"88",5,0.65,0.138473323755858
"89",5,0.7,0.137386573084689
"90",5,0.75,0.136043978158563
"91",5,0.8,0.134918391746386
"92",5,0.85,0.133144888553341
"93",5,0.9,0.131420571807226
"94",5,0.95,0.131960551990885
"95",5,1,0.132026006050845
"96",6,0.1,0.144752371348112
"97",6,0.15,0.143879951650452
"98",6,0.2,0.142725897853479
"99",6,0.25,0.142446198149829
"100",6,0.3,0.143021679428096
"101",6,0.35,0.142139821579182
"102",6,0.4,0.141061284192736
"103",6,0.45,0.137292955632624
"104",6,0.5,0.136071973526806
"105",6,0.55,0.134223720895369
"106",6,0.6,0.130666002348066
"107",6,0.65,0.128373912775292
"108",6,0.7,0.127366318280366
"109",6,0.75,0.125361731462295
"110",6,0.8,0.122974220050528
"111",6,0.85,0.122102462186675
"112",6,0.9,0.120354878921441
"113",6,0.95,0.120259652673107
"114",6,1,0.119610915165303
"115",7,0.1,0.165833414612558
"116",7,0.15,0.166803913829453
"117",7,0.2,0.16634854659143
"118",7,0.25,0.166216134007107
"119",7,0.3,0.165259602338033
"120",7,0.35,0.161791102836287
"121",7,0.4,0.160625872986726
"122",7,0.45,0.15882168833632
"123",7,0.5,0.156205867077349
"124",7,0.55,0.153061945734549
"125",7,0.6,0.150820104715611
"126",7,0.65,0.147667545165856
"127",7,0.7,0.144224598327457
"128",7,0.75,0.143631231352348
"129",7,0.8,0.14162497139992
"130",7,0.85,0.139367015299853
"131",7,0.9,0.137954172695537
"132",7,0.95,0.138315821938947
"133",7,1,0.137658681848919
"134",8,0.1,0.1468613660337
"135",8,0.15,0.147331048754948
"136",8,0.2,0.150574622399321
"137",8,0.25,0.150563342995853
"138",8,0.3,0.150076597068256
"139",8,0.35,0.14917936242841
"140",8,0.4,0.148853258483528
"141",8,0.45,0.146680526853092
"142",8,0.5,0.144547414627748
"143",8,0.55,0.142305958144349
"144",8,0.6,0.139209697003409
"145",8,0.65,0.13348058435708
"146",8,0.7,0.131956275551812
"147",8,0.75,0.12885954249781
"148",8,0.8,0.12487254869342
"149",8,0.85,0.119858492820964
"150",8,0.9,0.117835758703699
"151",8,0.95,0.11488531825037
"152",8,1,0.112528973369807
"153",9,0.1,0.155650849544482
"154",9,0.15,0.148457033847623
"155",9,0.2,0.146428202101785
"156",9,0.25,0.146575878136584
"157",9,0.3,0.148063244911944
"158",9,0.35,0.14844469338667
"159",9,0.4,0.148198030632957
"160",9,0.45,0.147521905382713
"161",9,0.5,0.146680569391751
"162",9,0.55,0.145485853412983
"163",9,0.6,0.143288065643055
"164",9,0.65,0.139806764781169
"165",9,0.7,0.136966753644514
"166",9,0.75,0.135469396816523
"167",9,0.8,0.133373647071754
"168",9,0.85,0.130500994411149
"169",9,0.9,0.12889326744109
"170",9,0.95,0.12737751922098
"171",9,1,0.125631774967595
"172",10,0.1,0.147009035444548
"173",10,0.15,0.144976419714178
"174",10,0.2,0.143796421042109
"175",10,0.25,0.14351795110534
"176",10,0.3,0.143299090863418
"177",10,0.35,0.142869848175591
"178",10,0.4,0.143053015719602
"179",10,0.45,0.141690250481582
"180",10,0.5,0.140588760458306
"181",10,0.55,0.139029343840012
"182",10,0.6,0.136613938995985
"183",10,0.65,0.135130363028232
"184",10,0.7,0.134265073331806
"185",10,0.75,0.133145122321044
"186",10,0.8,0.131174092204309
"187",10,0.85,0.12973104309205
"188",10,0.9,0.128903957448949
"189",10,0.95,0.128549325827882
"190",10,1,0.12812966942815
