track_name,track_artist,track_popularity,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,0.748,0.916,-2.634,0.0583,0.102,0.0653,0.518,122.036
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,0.675,0.919,-5.385,0.127,0.0799,0.143,0.585,124.982
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,0.679,0.923,-6.5,0.181,0.146,0.124,0.752,121.984
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,0.805,0.835,-4.603,0.0896,0.13,0.365,0.722,125.028
bad guy (with Justin Bieber),Billie Eilish,83,0.67,0.453,-11.265,0.295,0.252,0.117,0.68,135.055
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,0.789,0.858,-4.388,0.0404,0.22,0.335,0.491,110.012
Friends (with BloodPop®),Justin Bieber,76,0.743,0.733,-5.337,0.0375,0.00402,0.304,0.622,104.977
Sorry,Justin Bieber,81,0.654,0.76,-3.669,0.045,0.0797,0.299,0.41,99.945
Poker Face,Lady Gaga,69,0.851,0.806,-4.618,0.0786,0.12,0.121,0.776,119.001
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,0.845,0.766,-5.727,0.0658,0.212,0.111,0.782,114.054
Happier - Tiësto’s AFTR:HRS Remix,Ed Sheeran,53,0.684,0.823,-4.881,0.0296,0.00576,0.201,0.384,117.993
bad guy,Billie Eilish,95,0.701,0.425,-10.965,0.375,0.328,0.1,0.562,135.128
A Sky Full of Stars,Coldplay,78,0.551,0.636,-7.125,0.0281,0.00713,0.217,0.153,124.996
everything i wanted,Billie Eilish,97,0.704,0.225,-14.454,0.0994,0.902,0.106,0.243,120.006
Yummy,Justin Bieber,95,0.662,0.519,-6.554,0.106,0.404,0.121,0.495,145.841
Blinding Lights,The Weeknd,98,0.513,0.796,-4.075,0.0629,0.00147,0.0938,0.345,171.017
Heartless,The Weeknd,93,0.531,0.75,-5.831,0.111,0.00632,0.117,0.198,169.954
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,85,0.448,0.603,-7.176,0.064,0.433,0.0862,0.422,205.272
The Morning,The Weeknd,70,0.652,0.549,-7.555,0.039,0.317,0.104,0.186,120.073
Shape of You,Ed Sheeran,86,0.825,0.652,-3.183,0.0802,0.581,0.0931,0.931,95.977
Beautiful People (feat. Khalid),Ed Sheeran,85,0.64,0.648,-8.113,0.187,0.124,0.0802,0.548,92.977
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,91,0.857,0.621,-6.376,0.0824,0.148,0.0865,0.668,97.986
I Don't Care (with Justin Bieber),Ed Sheeran,84,0.798,0.675,-5.041,0.0442,0.0912,0.0894,0.842,101.956
Orphans,Coldplay,78,0.503,0.808,-5.051,0.045,0.0254,0.557,0.283,107.975
Applause,Lady Gaga,70,0.669,0.78,-4.287,0.053,0.0265,0.143,0.738,139.945
Judas,Lady Gaga,56,0.661,0.937,-3.83,0.0744,9.67e-4,0.355,0.535,131.001
Blank Space,Taylor Swift,78,0.76,0.703,-5.412,0.054,0.103,0.0913,0.57,95.997
The Cure,Lady Gaga,70,0.697,0.506,-4.863,0.0325,0.0792,0.0893,0.516,100.002
Umbrella,Rihanna,80,0.583,0.829,-4.603,0.134,0.00864,0.0426,0.575,174.028
Just The Way You Are,Bruno Mars,20,0.637,0.843,-5.413,0.0432,0.0151,0.0876,0.434,109.012
Don't Stop The Music,Rihanna,17,0.835,0.669,-5.582,0.0643,0.0336,0.0535,0.542,122.668
Photograph,Ed Sheeran,84,0.614,0.379,-10.48,0.0476,0.607,0.0986,0.201,107.989
You Need To Calm Down,Taylor Swift,86,0.771,0.671,-5.617,0.0553,0.00929,0.0637,0.714,85.026
22,Taylor Swift,0,0.661,0.724,-6.548,0.0373,0.00288,0.0631,0.676,104.011
Baby,Justin Bieber,76,0.728,0.86,-5.237,0.137,0.0401,0.111,0.535,65.043
Viva La Vida,Coldplay,78,0.485,0.619,-7.115,0.0289,0.0941,0.109,0.416,138.017
Bad Romance,Lady Gaga,78,0.696,0.921,-3.755,0.0363,0.00314,0.0842,0.714,119.001
I Knew You Were Trouble.,Taylor Swift,76,0.622,0.469,-6.798,0.0363,0.00454,0.0335,0.679,77.019
Our Song,Taylor Swift,61,0.667,0.659,-4.932,0.0298,0.113,0.325,0.575,89.128
Mean,Taylor Swift,62,0.57,0.747,-3.978,0.0426,0.445,0.219,0.808,164.004
The Lazy Song,Bruno Mars,73,0.738,0.804,-3.851,0.0621,0.332,0.279,0.949,174.943
Love The Way You Lie (Part II) - Pt. 2,Rihanna,65,0.472,0.833,-4.486,0.162,0.297,0.056,0.413,166.271
Just Dance,Lady Gaga,73,0.822,0.739,-4.541,0.0311,0.0264,0.181,0.745,118.992
Paparazzi,Lady Gaga,69,0.762,0.692,-3.973,0.0438,0.113,0.094,0.397,114.906
Alejandro,Lady Gaga,8,0.626,0.799,-6.612,0.046,3.58e-4,0.36,0.369,98.992
Hotline Bling,Drake,0,0.905,0.617,-8.039,0.0596,0.00287,0.0484,0.572,134.972
Adventure of a Lifetime,Coldplay,74,0.638,0.924,-3.887,0.0359,0.00205,0.149,0.529,111.995
Hymn for the Weekend,Coldplay,77,0.49,0.743,-5.155,0.0409,0.255,0.3,0.363,89.974
I Feel It Coming,The Weeknd,80,0.773,0.819,-5.946,0.118,0.426,0.0679,0.585,92.99
Paradise,Coldplay,77,0.449,0.585,-6.762,0.0268,0.0522,0.0833,0.203,139.627
Look What You Made Me Do,Taylor Swift,74,0.766,0.709,-6.471,0.123,0.204,0.126,0.506,128.07
That's What I Like,Bruno Mars,82,0.853,0.56,-4.961,0.0406,0.013,0.0944,0.86,134.066
Gorgeous,Taylor Swift,67,0.8,0.535,-6.684,0.135,0.0713,0.213,0.451,92.027
Starboy,The Weeknd,84,0.678,0.588,-7.015,0.276,0.141,0.137,0.486,186.005
We Are Never Ever Getting Back Together,Taylor Swift,74,0.628,0.676,-5.911,0.0916,0.00957,0.121,0.75,85.984
As Long As You Love Me,Justin Bieber,72,0.571,0.873,-3.382,0.0997,0.0807,0.361,0.613,139.691
Mistletoe,Justin Bieber,84,0.658,0.56,-9.049,0.0467,0.498,0.0794,0.854,161.994
Just the Way You Are,Bruno Mars,80,0.637,0.843,-5.413,0.0432,0.0151,0.0876,0.434,109.012
Thinking out Loud,Ed Sheeran,67,0.781,0.445,-6.061,0.0295,0.474,0.184,0.591,78.998
Diamonds,Rihanna,66,0.564,0.71,-4.92,0.0461,0.00125,0.109,0.393,91.972
Can't Feel My Face,The Weeknd,80,0.705,0.769,-5.526,0.0426,0.112,0.105,0.59,107.939
One Dance,Drake,20,0.791,0.619,-5.886,0.0532,0.00784,0.351,0.371,103.989
The Hills,The Weeknd,6,0.587,0.566,-7.017,0.0528,0.0843,0.145,0.155,113.025
Versace On The Floor (Bruno Mars vs. David Guetta),Bruno Mars,63,0.747,0.701,-4.902,0.0429,0.108,0.0712,0.589,100.012
Too Good,Drake,12,0.804,0.648,-7.805,0.117,0.0573,0.102,0.392,117.983
Shake It Off,Taylor Swift,18,0.648,0.785,-5.414,0.165,0.0561,0.148,0.943,160.02
Locked Out of Heaven,Bruno Mars,78,0.726,0.698,-4.165,0.0431,0.049,0.309,0.867,143.994
Best I Ever Had,Drake,72,0.431,0.894,-2.673,0.33,0.0951,0.188,0.604,162.193
Hymn for the Weekend - Seeb Remix,Coldplay,71,0.565,0.849,-3.516,0.0517,0.00868,0.12,0.427,102.034
FourFiveSeconds,Rihanna,21,0.579,0.268,-5.65,0.0442,0.868,0.12,0.321,205.903
Galway Girl,Ed Sheeran,80,0.624,0.876,-3.374,0.1,0.0735,0.327,0.781,99.943
Only Girl (In The World),Rihanna,8,0.768,0.738,-3.017,0.0406,0.0524,0.0561,0.685,125.928
We Found Love,Rihanna,19,0.734,0.766,-4.485,0.0383,0.025,0.108,0.6,127.986
In My Feelings,Drake,83,0.835,0.626,-5.833,0.125,0.0589,0.396,0.35,91.03
God's Plan,Drake,86,0.754,0.449,-9.211,0.109,0.0332,0.552,0.357,77.169
Passionfruit,Drake,15,0.809,0.463,-11.377,0.0396,0.256,0.109,0.364,111.98
Yellow,Coldplay,81,0.429,0.661,-7.227,0.0281,0.00239,0.234,0.285,173.365
Fix You,Coldplay,81,0.209,0.418,-8.74,0.0338,0.163,0.113,0.123,138.265
Controlla,Drake,73,0.611,0.468,-11.084,0.179,0.0781,0.101,0.349,92.092
Ocean Eyes - Blackbear Remix,Billie Eilish,73,0.661,0.419,-9.807,0.0404,0.114,0.0848,0.145,144.98
The Scientist,Coldplay,83,0.56,0.442,-7.224,0.0243,0.727,0.11,0.212,146.448
Clocks,Coldplay,75,0.577,0.749,-7.215,0.0279,0.599,0.183,0.261,130.969
In My Place,Coldplay,70,0.425,0.587,-5.453,0.0278,0.0565,0.298,0.194,144.642
A Sky Full of Stars - Robin Schulz Edit,Coldplay,51,0.638,0.847,-5.648,0.0338,0.00405,0.4,0.333,123.042
What Do You Mean?,Justin Bieber,78,0.845,0.567,-8.118,0.0956,0.59,0.0811,0.793,125.02
Treasure,Bruno Mars,76,0.874,0.692,-5.28,0.0431,0.0412,0.324,0.937,116.017
