Ht,Wt,PosRec
76,334,OL
78,312,OL
75,312,OL
76,302,OL
76,211,QB
75,218,QB
74,208,QB
76,206,QB
77,297,OL
75,224,QB
74,216,QB
79,304,OL
77,302,OL
77,303,OL
77,334,OL
76,322,OL
76,291,OL
76,309,OL
71,207,QB
76,338,OL
70,192,QB
73,312,OL
76,297,OL
75,216,QB
72,226,QB
75,304,OL
75,320,OL
78,310,OL
76,345,OL
74,226,QB
76,330,OL
76,307,OL
74,305,OL
76,299,OL
72,202,QB
74,227,QB
77,361,OL
76,328,OL
78,315,OL
75,298,OL
75,295,OL
75,320,OL
74,207,QB
76,317,OL
75,277,OL
75,229,QB
78,333,OL
72,215,QB
78,308,OL
75,222,QB
75,299,OL
74,293,OL
77,314,OL
75,321,OL
77,325,OL
74,308,OL
77,318,OL
77,320,OL
75,318,OL
75,300,OL
76,305,OL
77,297,OL
76,306,OL
80,326,OL
76,332,OL
75,229,QB
78,293,OL
77,310,OL
72,227,QB
76,290,OL
74,221,QB
79,332,OL
72,213,QB
77,329,OL
74,225,QB
75,303,OL
76,238,QB
78,305,OL
77,318,OL
78,370,OL
76,307,OL
79,338,OL
78,348,OL
75,303,OL
74,314,OL
74,312,OL
76,305,OL
74,303,OL
76,199,QB
78,298,OL
77,303,OL
73,211,QB
74,215,QB
75,300,OL
75,290,OL
77,315,OL
73,234,QB
76,334,OL
75,308,OL
77,308,OL
76,308,OL
74,290,OL
74,226,QB
75,313,OL
77,311,OL
75,299,OL
77,302,OL
76,282,OL
76,280,OL
78,328,OL
74,207,QB
72,205,QB
75,293,OL
76,305,OL
73,316,OL
74,231,QB
76,300,OL
76,298,OL
74,307,OL
76,317,OL
75,296,OL
75,223,QB
75,308,OL
77,311,OL
76,228,QB
79,348,OL
74,293,OL
77,315,OL
76,312,OL
77,338,OL
77,336,OL
75,307,OL
73,223,QB
75,299,OL
78,303,OL
72,210,QB
77,328,OL
77,311,OL
76,321,OL
76,226,QB
76,299,OL
77,304,OL
78,301,OL
76,345,OL
77,307,OL
76,299,OL
78,327,OL
74,301,OL
76,325,OL
74,299,OL
75,306,OL
76,307,OL
75,223,QB
77,301,OL
77,300,OL
80,313,OL
76,316,OL
74,220,QB
70,207,QB
74,245,QB
76,333,OL
74,210,QB
76,324,OL
75,300,OL
77,355,OL
75,224,QB
76,349,OL
75,300,OL
74,235,QB
75,318,OL
76,316,OL
76,215,QB
76,305,OL
76,303,OL
78,300,OL
77,304,OL
77,337,OL
78,313,OL
75,316,OL
74,221,QB
77,293,OL
76,310,OL
75,304,OL
76,221,QB
75,290,OL
75,300,OL
80,343,OL
75,318,OL
74,263,OL
77,335,OL
75,295,OL
74,316,OL
75,206,QB
74,223,QB
77,314,OL
75,300,OL
74,319,OL
76,320,OL
76,317,OL
76,309,OL
74,219,QB
78,331,OL
76,300,OL
74,304,OL
75,311,OL
74,335,OL
79,321,OL
80,344,OL
76,308,OL
78,375,OL
74,220,QB
71,201,QB
76,300,OL
78,314,OL
74,211,QB
75,234,QB
78,304,OL
76,301,OL
72,308,OL
74,218,QB
75,301,OL
81,318,OL
76,329,OL
76,334,OL
78,310,OL
78,311,OL
78,347,OL
77,208,QB
75,303,OL
75,324,OL
77,338,OL
76,307,OL
74,309,OL
73,205,QB
76,300,OL
73,217,QB
79,310,OL
73,333,OL
78,303,OL
76,356,OL
79,311,OL
75,289,OL
78,329,OL
75,305,OL
78,319,OL
75,312,OL
76,299,OL
75,213,QB
77,291,OL
78,316,OL
75,297,OL
78,333,OL
77,241,QB
77,300,OL
76,301,OL
75,301,OL
74,304,OL
77,359,OL
75,299,OL
75,297,OL
77,301,OL
77,303,OL
78,308,OL
77,232,QB
78,337,OL
75,218,QB
78,311,OL
77,301,OL
76,249,QB
74,295,OL
74,230,QB
78,327,OL
77,303,OL
79,324,OL
77,307,OL
77,330,OL
75,309,OL
76,220,QB
76,296,OL
77,307,OL
76,317,OL
78,297,OL
77,302,OL
76,303,OL
75,334,OL
78,328,OL
71,196,QB
79,321,OL
75,300,OL
76,321,OL
77,321,OL
77,340,OL
