"Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Year","Round","Pick","PosRec","RoundRec","seq"
76,252,4.55,NA,NA,NA,NA,NA,2000,1,13,"LB",1,1
72,218,4.58,NA,NA,NA,NA,NA,2000,1,19,"RB",1,2
76,334,5.56,25,23,94,8.48,4.98,2000,6,188,"OL",6,3
74,253,4.97,29,NA,104,7.29,4.49,2000,NA,NA,"TE",8,4
74,206,4.55,34,NA,123,7.18,4.15,2000,1,23,"DB",1,5
70,202,NA,NA,NA,NA,NA,NA,2000,NA,NA,"K",8,6
75,250,4.53,NA,NA,NA,NA,NA,2000,1,2,"LB",1,7
72,237,4.72,31,21,112,7.96,4.39,2000,NA,NA,"LB",8,8
72,167,NA,NA,NA,NA,NA,NA,2000,NA,NA,"K",8,9
69,175,4.44,35,17,119,7.03,4.14,2000,4,125,"DB",4,10
75,227,NA,NA,NA,NA,NA,NA,2000,NA,NA,"K",8,11
78,312,5.34,28,20,96,7.72,4.73,2000,NA,NA,"OL",8,12
72,208,4.62,35,10,114,6.92,4.32,2000,7,225,"DB",7,13
70,199,4.44,37.5,16,116,6.81,4.04,2000,4,102,"DB",4,14
73,192,4.43,38.5,NA,124,6.7,3.99,2000,2,54,"DB",2,15
74,200,NA,NA,NA,NA,NA,NA,2000,NA,NA,"K",8,16
75,312,5.19,NA,29,NA,NA,NA,2000,NA,NA,"OL",8,17
71,178,4.5,34.5,NA,122,6.87,4.2,2000,5,133,"DB",5,18
78,270,4.78,33.5,NA,123,6.94,4.08,2000,1,27,"TE",1,19
75,234,4.65,NA,NA,NA,NA,NA,2000,NA,NA,"LB",8,20
73,207,4.62,39.5,15,119,6.48,4.29,2000,2,43,"DB",2,21
76,302,5.07,31.5,17,103,7.76,4.58,2000,6,206,"OL",6,22
74,237,4.78,31.5,21,111,7.17,4.33,2000,4,116,"LB",4,23
71,204,4.55,NA,NA,NA,NA,NA,2000,4,126,"DB",4,24
76,274,5.09,29,26,105,7.68,4.49,2000,NA,NA,"DL",8,25
73,201,4.49,33,12,115,7.06,4.09,2000,6,198,"DB",6,26
74,300,5.03,NA,NA,NA,NA,NA,2000,NA,NA,"DL",8,27
76,211,5.28,24.5,NA,99,7.2,4.38,2000,6,199,"QB",6,28
76,309,5.19,28.5,28,99,7.82,4.7,2000,NA,NA,"DL",8,29
75,218,5.01,29,NA,101,7.54,4.87,2000,NA,NA,"QB",8,30
70,185,4.55,NA,10,NA,NA,NA,2000,5,140,"DB",5,31
70,204,4.59,36,14,116,6.93,4.01,2000,2,39,"DB",2,32
71,216,4.66,30,NA,117,6.64,4.08,2000,NA,NA,"RB",8,33
72,217,4.72,31,NA,107,7.17,4.39,2000,NA,NA,"RB",8,34
77,269,4.78,NA,NA,NA,NA,NA,2000,1,1,"DL",1,35
75,260,4.91,NA,17,NA,NA,NA,2000,NA,NA,"DL",8,36
74,208,4.97,NA,NA,100,7.46,4.34,2000,6,168,"QB",6,37
75,244,4.47,38,NA,119,7.33,4.13,2000,1,30,"LB",1,38
76,206,5.03,28.5,NA,107,7.46,4.42,2000,NA,NA,"QB",8,39
77,231,4.59,33,NA,115,NA,NA,2000,1,8,"WR",1,40
71,202,4.53,36,14,117,7.18,4.39,2000,NA,NA,"DB",8,41
71,193,4.41,NA,18,NA,NA,NA,2000,1,31,"RB",1,42
77,297,5.16,31,28,100,7.82,4.48,2000,4,112,"OL",4,43
75,224,4.74,36.5,NA,119,6.94,4.23,2000,NA,NA,"QB",8,44
73,283,5.06,28,22,106,7.82,4.75,2000,4,113,"DL",4,45
68,190,4.5,41,16,121,6.75,4.19,2000,4,118,"DB",4,46
74,208,4.54,39.5,NA,118,NA,NA,2000,NA,NA,"WR",8,47
74,216,4.96,NA,NA,NA,NA,NA,2000,NA,NA,"QB",8,48
70,215,4.56,38.5,16,128,6.84,4.2,2000,3,88,"RB",3,49
71,205,4.47,NA,16,126,NA,NA,2000,2,52,"DB",2,50
73,232,4.56,NA,NA,115,NA,NA,2000,NA,NA,"RB",8,51
79,304,5.08,31,28,103,7.65,4.65,2000,NA,NA,"OL",8,52
71,197,4.59,NA,NA,NA,NA,NA,2000,NA,NA,"DB",8,53
77,302,5.2,NA,25,NA,NA,NA,2000,NA,NA,"OL",8,54
73,283,5.25,27.5,25,108,7.98,4.65,2000,3,72,"DL",3,55
77,303,5.15,31.5,29,100,7.77,4.86,2000,2,37,"OL",2,56
74,245,4.75,NA,20,NA,NA,NA,2000,7,245,"LB",7,57
77,334,5.05,30.5,24,102,7.58,4.73,2000,2,44,"OL",2,58
72,191,4.37,37.5,NA,125,6.76,4.09,2000,3,70,"WR",3,59
76,322,5.4,28,NA,101,8.15,4.97,2000,2,51,"OL",2,60
72,211,4.61,32.5,NA,110,6.79,4.1,2000,NA,NA,"WR",8,61
71,192,4.41,34,NA,115,6.89,4.39,2000,3,78,"WR",3,62
77,286,5.16,NA,22,NA,NA,NA,2000,6,173,"DL",6,63
76,291,5.49,33,27,103,8.14,4.84,2000,NA,NA,"OL",8,64
75,276,5,35.5,25,121,7.65,4.45,2000,NA,NA,"DL",8,65
75,277,5.22,28,NA,108,7.41,4.49,2000,NA,NA,"DL",8,66
70,208,4.67,NA,16,117,NA,NA,2000,NA,NA,"DB",8,67
71,192,4.68,38,13,111,7.1,NA,2000,NA,NA,"DB",8,68
78,244,4.83,NA,18,NA,NA,NA,2000,NA,NA,"TE",8,69
73,197,4.44,39,NA,125,6.34,3.94,2000,NA,NA,"DB",8,70
75,217,4.74,33,NA,115,7.2,4.24,2000,NA,NA,"WR",8,71
70,211,4.54,NA,NA,NA,NA,NA,2000,NA,NA,"WR",8,72
79,268,5.06,30,13,108,7.33,4.67,2000,NA,NA,"TE",8,73
68,189,4.81,32,13,109,7.04,4.47,2000,NA,NA,"RB",8,74
76,309,5.66,26,NA,92,8.51,5,2000,NA,NA,"OL",8,75
73,199,4.55,34,NA,117,6.96,4.16,2000,3,79,"WR",3,76
71,259,4.65,NA,NA,NA,NA,NA,2000,1,11,"RB",1,77
75,314,4.99,31.5,19,101,7.4,4.57,2000,NA,NA,"DL",8,78
74,314,5.28,27.5,27,96,7.67,4.8,2000,NA,NA,"DL",8,79
76,231,4.66,NA,NA,NA,NA,NA,2000,4,98,"LB",4,80
71,215,4.66,30,13,115,7.34,4.41,2000,3,81,"RB",3,81
73,206,4.58,NA,NA,117,NA,NA,2000,3,66,"WR",3,82
71,260,4.99,28,NA,104,7.88,4.81,2000,4,117,"RB",4,83
72,191,4.46,NA,NA,120,NA,NA,2000,6,180,"DB",6,84
77,226,4.65,NA,NA,NA,NA,NA,2000,NA,NA,"LB",8,85
76,280,4.85,NA,NA,NA,NA,NA,2000,1,12,"DL",1,86
76,260,4.73,34,24,115,6.95,4.28,2000,2,35,"DL",2,87
73,242,4.68,34.5,8,NA,NA,NA,2000,NA,NA,"LB",8,88
